offspring_table,fitness
offspring_7_3,59.16471893
offspring_7_4,58.3881496
offspring_7_5,58.35839701
offspring_7_6,58.24564922
offspring_7_7,58.00448341
offspring_7_8,57.98016292
offspring_7_9,56.73928853
offspring_7_10,49.7580948
offspring_7_11,43.13868158
offspring_7_12,54.34515944
offspring_7_13,54.40385088
offspring_7_14,51.76007407
offspring_7_15,50.86136892
offspring_7_16,52.80401558
offspring_7_17,56.36707957
offspring_7_18,50.22317594
offspring_7_19,53.96411199
offspring_7_20,56.33925952
offspring_7_21,51.93084639
offspring_7_22,61.83555293
offspring_7_23,48.48700625
offspring_7_24,50.80947508
offspring_7_25,54.53026166
offspring_7_26,49.52021449
offspring_7_27,56.74218308
offspring_7_28,54.23296046
offspring_7_29,52.06841051
offspring_7_30,52.92625193
offspring_7_31,59.9760828
offspring_8_0,66.47257526
offspring_8_1,62.09827329
offspring_8_2,61.83555293
offspring_8_3,60.29771221
offspring_8_4,59.9760828
offspring_8_5,59.16471893
offspring_8_6,58.3881496
offspring_8_7,54.40385088
offspring_8_8,58.00448341
offspring_8_9,54.53026166
offspring_8_10,58.35839701
offspring_8_11,56.73928853
offspring_8_12,53.96411199
offspring_8_13,56.74218308
offspring_8_14,56.33925952
offspring_8_15,50.80947508
offspring_8_16,57.98016292
offspring_8_17,54.40385088
offspring_8_18,47.78890531
offspring_8_19,49.86036048
offspring_8_20,57.90336996
offspring_8_21,60.4013361
offspring_8_22,55.50787994
offspring_8_23,54.35682722
offspring_8_24,56.38404922
offspring_8_25,61.43038664
offspring_8_26,50.79237681
offspring_8_27,56.87815454
offspring_8_28,59.59497631
offspring_8_29,61.79304369
offspring_8_30,54.38765197
offspring_8_31,66.34932418
offspring_9_0,66.47257526
offspring_9_1,66.34932418
offspring_9_2,62.09827329
offspring_9_3,61.83555293
offspring_9_4,61.79304369
offspring_9_5,61.43038664
offspring_9_6,60.4013361
offspring_9_7,59.59497631
offspring_9_8,57.90336996
offspring_9_9,59.9760828
offspring_9_10,56.73928853
offspring_9_11,58.3881496
offspring_9_12,56.33925952
offspring_9_13,60.29771221
offspring_9_14,54.53026166
offspring_9_15,58.00448341
offspring_9_16,50.79237681
offspring_9_17,56.73928853
offspring_9_18,55.31561559
offspring_9_19,50.52154986
offspring_9_20,57.61253174
offspring_9_21,56.29688335
offspring_9_22,55.38676318
offspring_9_23,56.24138154
offspring_9_24,56.64026547
offspring_9_25,55.29846099
offspring_9_26,57.80870265
offspring_9_27,47.79638732
offspring_9_28,49.98312881
offspring_9_29,56.74265343
offspring_9_30,51.13479358
offspring_9_31,66.89858781
offspring_10_0,66.89858781
offspring_10_1,66.47257526
offspring_10_2,66.34932418
offspring_10_3,62.09827329
offspring_10_4,61.83555293
offspring_10_5,61.79304369
offspring_10_6,61.43038664
offspring_10_7,57.90336996
offspring_10_8,59.9760828
offspring_10_9,58.3881496
offspring_10_10,56.74265343
offspring_10_11,57.61253174
offspring_10_12,57.80870265
offspring_10_13,60.29771221
offspring_10_14,47.79638732
offspring_10_15,50.79237681
offspring_10_16,51.13479358
offspring_10_17,57.61253174
offspring_10_18,63.83166923
offspring_10_19,64.54181842
offspring_10_20,59.2704885
offspring_10_21,59.61555039
offspring_10_22,59.04938937
offspring_10_23,48.08067115
offspring_10_24,63.49204215
offspring_10_25,58.62366572
offspring_10_26,58.26443435
offspring_10_27,65.70368003
offspring_10_28,49.06615553
offspring_10_29,57.00925932
offspring_10_30,50.69040288
offspring_10_31,49.78680368
offspring_11_0,66.89858781
offspring_11_1,66.47257526
offspring_11_2,66.34932418
offspring_11_3,65.70368003
offspring_11_4,64.54181842
offspring_11_5,63.83166923
offspring_11_6,63.49204215
offspring_11_7,61.43038664
offspring_11_8,62.09827329
offspring_11_9,61.79304369
offspring_11_10,61.83555293
offspring_11_11,60.29771221
offspring_11_12,57.80870265
offspring_11_13,57.61253174
offspring_11_14,58.62366572
offspring_11_15,56.74265343
offspring_11_16,49.23635005
offspring_11_17,56.04596111
offspring_11_18,56.06707958
offspring_11_19,56.08933084
offspring_11_20,54.16450396
offspring_11_21,59.74434559
offspring_11_22,61.00272252
offspring_11_23,65.25083221
offspring_11_24,61.76949311
offspring_11_25,61.43795145
offspring_11_26,58.83907366
offspring_11_27,58.07484695
offspring_11_28,60.29771221
offspring_11_29,67.97682543
offspring_11_30,59.11099813
offspring_11_31,68.09137095
offspring_12_0,68.09137095
offspring_12_1,67.97682543
offspring_12_2,66.89858781
offspring_12_3,66.47257526
offspring_12_4,66.34932418
offspring_12_5,65.70368003
