offspring_table,fitness
offspring_7_4,85.47840802
offspring_7_5,84.66969805
offspring_7_6,84.18345961
offspring_7_7,76.40314699
offspring_7_8,77.69551447
offspring_7_9,75.99032308
offspring_7_10,77.02205531
offspring_7_11,75.70274964
offspring_7_12,83.87227927
offspring_7_13,81.55152111
offspring_7_14,60.07719744
offspring_7_15,71.00594418
offspring_7_16,75.99317619
offspring_7_17,76.68044616
offspring_7_18,69.53166875
offspring_7_19,76.42586374
offspring_7_20,71.61631825
offspring_7_21,83.05787613
offspring_7_22,69.04179425
offspring_7_23,69.85697005
offspring_7_24,93.44083357
offspring_7_25,76.00274965
offspring_7_26,84.67625241
offspring_7_27,77.59495778
offspring_7_28,56.50077075
offspring_7_29,74.6684449
offspring_7_30,65.28985823
offspring_7_31,92.42103307
offspring_8_0,97.77427148
offspring_8_1,93.74083357
offspring_8_2,93.44083357
offspring_8_3,92.42103307
offspring_8_4,91.97141708
offspring_8_5,87.66478319
offspring_8_6,85.47840802
offspring_8_7,76.40314699
offspring_8_8,84.67625241
offspring_8_9,77.69551447
offspring_8_10,71.00594418
offspring_8_11,77.02205531
offspring_8_12,83.05787613
offspring_8_13,84.66969805
offspring_8_14,76.42586374
offspring_8_15,84.18345961
offspring_8_16,69.20296433
offspring_8_17,80.70600603
offspring_8_18,80.71802061
offspring_8_19,70.65292174
offspring_8_20,90.466258
offspring_8_21,76.40234636
offspring_8_22,88.08893651
offspring_8_23,69.79799355
offspring_8_24,70.36431271
offspring_8_25,83.1100923
offspring_8_26,77.1773029
offspring_8_27,76.04276392
offspring_8_28,83.9409131
offspring_8_29,80.17187164
offspring_8_30,86.24957379
offspring_8_31,99.78509912
offspring_9_0,99.78509912
offspring_9_1,97.77427148
offspring_9_2,93.74083357
offspring_9_3,93.44083357
offspring_9_4,92.42103307
offspring_9_5,91.97141708
offspring_9_6,90.466258
offspring_9_7,87.66478319
offspring_9_8,86.24957379
offspring_9_9,84.18345961
offspring_9_10,76.04276392
offspring_9_11,84.67625241
offspring_9_12,85.47840802
offspring_9_13,87.87697915
offspring_9_14,80.17187164
offspring_9_15,71.00594418
offspring_9_16,80.06249083
offspring_9_17,78.21572825
offspring_9_18,68.42656124
offspring_9_19,73.49454885
offspring_9_20,85.96048096
offspring_9_21,85.96053223
offspring_9_22,79.91264091
offspring_9_23,91.77428815
offspring_9_24,80.90482574
offspring_9_25,93.52008106
