offspring_table,fitness
offspring_7_4,80.97212427
offspring_7_5,78.31645949
offspring_7_6,77.91498934
offspring_7_7,68.92833862
offspring_7_8,63.23296926
offspring_7_9,70.90502419
offspring_7_10,68.82964581
offspring_7_11,72.52016435
offspring_7_12,66.06864305
offspring_7_13,77.10301139
offspring_7_14,72.27185208
offspring_7_15,68.10159324
offspring_7_16,63.60246702
offspring_7_17,83.67871397
offspring_7_18,64.49092248
offspring_7_19,62.72299718
offspring_7_20,68.93879267
offspring_7_21,85.41793485
offspring_7_22,56.35322896
offspring_7_23,74.16101316
offspring_7_24,65.7536069
offspring_7_25,61.95508053
offspring_7_26,60.56739134
offspring_7_27,73.31515577
offspring_7_28,66.06864305
offspring_7_29,77.10301139
offspring_7_30,70.90502419
offspring_7_31,95.38938818
offspring_8_0,95.38938818
offspring_8_1,94.15436799
offspring_8_2,93.09576117
offspring_8_3,91.9255058
offspring_8_4,85.41793485
offspring_8_5,83.67871397
offspring_8_6,83.60349682
offspring_8_7,68.10159324
offspring_8_8,72.27185208
offspring_8_9,80.97212427
offspring_8_10,70.90502419
offspring_8_11,63.60246702
offspring_8_12,77.10301139
offspring_8_13,66.06864305
offspring_8_14,89.67272239
offspring_8_15,68.92833862
offspring_8_16,77.10301139
offspring_8_17,77.10301139
offspring_8_18,65.84821692
offspring_8_19,62.06412163
offspring_8_20,65.75524349
offspring_8_21,67.76390145
offspring_8_22,77.10301139
offspring_8_23,66.06864305
offspring_8_24,71.6212531
offspring_8_25,75.22457482
offspring_8_26,85.83366967
offspring_8_27,74.91766266
offspring_8_28,75.93258092
offspring_8_29,65.93955549
offspring_8_30,93.66046878
offspring_8_31,102.27871223
offspring_9_0,102.27871223
offspring_9_1,95.38938818
offspring_9_2,94.15436799
offspring_9_3,93.66046878
offspring_9_4,93.09576117
offspring_9_5,91.9255058
offspring_9_6,89.67272239
offspring_9_7,80.97212427
offspring_9_8,85.83366967
offspring_9_9,83.67871397
offspring_9_10,77.10301139
offspring_9_11,77.10301139
offspring_9_12,65.75524349
