offspring_table,fitness
offspring_7_4,87.95381957
offspring_7_5,84.63950059
offspring_7_6,82.33536173
offspring_7_7,72.18029912
offspring_7_8,65.20823784
offspring_7_9,74.3099299
offspring_7_10,75.25807574
offspring_7_11,75.51586369
offspring_7_12,78.12654023
offspring_7_13,79.18835723
offspring_7_14,64.29685743
offspring_7_15,56.87234676
offspring_7_16,73.42114677
offspring_7_17,75.48759557
offspring_7_18,74.40600718
offspring_7_19,74.64010159
offspring_7_20,78.64886993
offspring_7_21,85.32604671
offspring_7_22,87.95381957
offspring_7_23,94.95338269
offspring_7_24,69.30432031
offspring_7_25,69.10170594
offspring_7_26,57.24854631
offspring_7_27,53.09456841
offspring_7_28,68.41907676
offspring_7_29,79.14614171
offspring_7_30,81.01804061
offspring_7_31,86.30180995
offspring_8_0,94.95338269
offspring_8_1,94.95338269
offspring_8_2,92.37261663
offspring_8_3,91.89973937
offspring_8_4,88.99466838
offspring_8_5,87.95381957
offspring_8_6,87.95381957
offspring_8_7,85.32604671
offspring_8_8,82.33536173
offspring_8_9,86.30180995
offspring_8_10,74.3099299
offspring_8_11,75.51586369
offspring_8_12,78.64886993
offspring_8_13,72.18029912
offspring_8_14,53.09456841
offspring_8_15,78.12654023
offspring_8_16,68.55056027
offspring_8_17,77.99080344
offspring_8_18,69.16689956
offspring_8_19,79.02702161
offspring_8_20,66.29707241
offspring_8_21,81.01907503
offspring_8_22,82.28367227
offspring_8_23,69.91074589
offspring_8_24,74.94941489
offspring_8_25,80.82495796
offspring_8_26,54.03008097
offspring_8_27,81.38617396
offspring_8_28,83.99854141
offspring_8_29,78.98285918
offspring_8_30,74.74870408
offspring_8_31,102.84755292
offspring_9_0,102.84755292
offspring_9_1,94.95338269
offspring_9_2,94.95338269
offspring_9_3,92.37261663
offspring_9_4,91.89973937
offspring_9_5,88.99466838
offspring_9_6,87.95381957
offspring_9_7,78.98285918
offspring_9_8,86.30180995
offspring_9_9,78.64886993
offspring_9_10,74.3099299
offspring_9_11,81.01907503
offspring_9_12,82.33536173
offspring_9_13,78.12654023
offspring_9_14,87.95381957
offspring_9_15,66.29707241
offspring_9_16,83.0606878
offspring_9_17,62.06226834
offspring_9_18,85.01706339
offspring_9_19,86.00616089
offspring_9_20,79.06662564
offspring_9_21,87.71743613
offspring_9_22,71.74908433
offspring_9_23,61.59484579
offspring_9_24,72.25186804
offspring_9_25,84.48133007
offspring_9_26,73.20840081
offspring_9_27,76.25398369
offspring_9_28,91.76830673
offspring_9_29,79.35867328
offspring_9_30,74.68247603
offspring_9_31,98.49053068
offspring_10_0,102.84755292
offspring_10_1,98.49053068
offspring_10_2,94.95338269
offspring_10_3,94.95338269
offspring_10_4,92.37261663
offspring_10_5,91.89973937
offspring_10_6,91.76830673
offspring_10_7,74.68247603
offspring_10_8,87.95381957
offspring_10_9,86.30180995
offspring_10_10,82.33536173
offspring_10_11,85.01706339
offspring_10_12,73.20840081
offspring_10_13,84.48133007
offspring_10_14,78.64886993
offspring_10_15,81.01907503
offspring_10_16,74.36450362
offspring_10_17,74.42370567
offspring_10_18,80.6148778
offspring_10_19,69.98830464
offspring_10_20,88.14831921
offspring_10_21,79.42909739
offspring_10_22,79.85605832
offspring_10_23,88.29816057
offspring_10_24,73.63187589
offspring_10_25,81.16820097
offspring_10_26,76.62364904
offspring_10_27,84.21634854
offspring_10_28,78.31776842
offspring_10_29,86.42386805
offspring_10_30,91.85866635
offspring_10_31,93.32500881
offspring_11_0,102.84755292
offspring_11_1,98.49053068
offspring_11_2,94.95338269
offspring_11_3,94.95338269
offspring_11_4,93.32500881
offspring_11_5,92.37261663
offspring_11_6,91.89973937
offspring_11_7,76.62364904
offspring_11_8,82.33536173
offspring_11_9,81.01907503
offspring_11_10,88.29816057
offspring_11_11,87.95381957
offspring_11_12,88.14831921
offspring_11_13,91.76830673
offspring_11_14,84.48133007
offspring_11_15,79.42909739
offspring_11_16,75.46335593
offspring_11_17,93.03453882
offspring_11_18,82.51907156
offspring_11_19,80.91646238
offspring_11_20,84.39957178
offspring_11_21,73.80660183
offspring_11_22,94.95338269
offspring_11_23,87.95381957
offspring_11_24,87.15022856
offspring_11_25,73.56036245
offspring_11_26,76.14293153
offspring_11_27,71.95861664
offspring_11_28,90.13943875
offspring_11_29,80.73138815
offspring_11_30,75.98323596
offspring_11_31,100.47767607
offspring_12_0,102.84755292
offspring_12_1,100.47767607
offspring_12_2,98.49053068
offspring_12_3,94.95338269
offspring_12_4,94.95338269
offspring_12_5,94.95338269
offspring_12_6,93.32500881
offspring_12_7,82.51907156
offspring_12_8,80.73138815
offspring_12_9,87.95381957
offspring_12_10,82.33536173
offspring_12_11,87.95381957
offspring_12_12,91.76830673
offspring_12_13,84.39957178
offspring_12_14,87.15022856
offspring_12_15,91.89973937
offspring_12_16,79.45246499
offspring_12_17,79.69145646
offspring_12_18,75.95355489
offspring_12_19,88.69445224
offspring_12_20,94.95338269
offspring_12_21,94.95338269
offspring_12_22,78.74320256
offspring_12_23,92.57898153
offspring_12_24,89.68094751
offspring_12_25,86.51699982
offspring_12_26,88.30904919
offspring_12_27,83.82610045
offspring_12_28,74.1465289
offspring_12_29,90.53748086
offspring_12_30,78.7683073
offspring_12_31,94.72789884
offspring_13_0,102.84755292
offspring_13_1,100.47767607
offspring_13_2,98.49053068
offspring_13_3,94.95338269
offspring_13_4,94.95338269
offspring_13_5,94.95338269
offspring_13_6,94.95338269
offspring_13_7,83.82610045
offspring_13_8,92.57898153
offspring_13_9,91.89973937
offspring_13_10,82.33536173
offspring_13_11,88.30904919
offspring_13_12,94.95338269
offspring_13_13,87.95381957
offspring_13_14,90.53748086
offspring_13_15,88.69445224
offspring_13_16,86.51699982
offspring_13_17,94.95338269
offspring_13_18,92.18611617
offspring_13_19,90.08012864
offspring_13_20,83.13792179
offspring_13_21,94.25409176
offspring_13_22,95.24837179
offspring_13_23,91.91362204
offspring_13_24,100.47767607
offspring_13_25,88.69445224
offspring_13_26,86.68334113
offspring_13_27,87.92228348
offspring_13_28,95.70142161
offspring_13_29,102.099514
offspring_13_30,89.1576897
offspring_13_31,92.60567605
offspring_14_0,102.84755292
offspring_14_1,102.099514
offspring_14_2,100.47767607
offspring_14_3,100.47767607
offspring_14_4,98.49053068
offspring_14_5,95.70142161
offspring_14_6,95.24837179
offspring_14_7,92.57898153
offspring_14_8,94.95338269
offspring_14_9,94.95338269
offspring_14_10,94.95338269
offspring_14_11,94.95338269
offspring_14_12,88.69445224
offspring_14_13,90.53748086
offspring_14_14,87.92228348
offspring_14_15,87.95381957
offspring_14_16,92.18611617
offspring_14_17,94.95338269
offspring_14_18,93.72375363
offspring_14_19,98.33181579
offspring_14_20,92.18611617
offspring_14_21,94.95338269
offspring_14_22,102.84755292
offspring_14_23,92.57898153
offspring_14_24,97.76536699
offspring_14_25,92.17451558
offspring_14_26,95.06759822
offspring_14_27,88.52958167
offspring_14_28,92.62827563
offspring_14_29,96.3997359
offspring_14_30,98.04711661
offspring_14_31,101.50229538
offspring_15_0,102.84755292
offspring_15_1,102.84755292
offspring_15_2,102.099514
offspring_15_3,101.50229538
offspring_15_4,100.47767607
offspring_15_5,100.47767607
offspring_15_6,98.49053068
offspring_15_7,92.57898153
offspring_15_8,94.95338269
offspring_15_9,96.3997359
offspring_15_10,95.06759822
offspring_15_11,95.70142161
offspring_15_12,94.95338269
offspring_15_13,97.76536699
offspring_15_14,88.52958167
offspring_15_15,92.17451558
offspring_15_16,96.1218466
offspring_15_17,102.00561421
offspring_15_18,101.82603919
offspring_15_19,94.86138994
offspring_15_20,88.5735349
offspring_15_21,92.78197789
offspring_15_22,98.55926619
offspring_15_23,98.83846212
offspring_15_24,95.70142161
offspring_15_25,94.95338269
offspring_15_26,92.09107563
offspring_15_27,91.68333998
offspring_15_28,94.06062886
offspring_15_29,100.04330889
offspring_15_30,91.57070324
offspring_15_31,103.33584658
offspring_16_0,103.33584658
offspring_16_1,102.84755292
offspring_16_2,102.84755292
offspring_16_3,102.099514
offspring_16_4,102.00561421
offspring_16_5,101.82603919
offspring_16_6,101.50229538
offspring_16_7,92.78197789
offspring_16_8,98.55926619
offspring_16_9,100.04330889
offspring_16_10,100.47767607
offspring_16_11,96.1218466
offspring_16_12,100.47767607
offspring_16_13,95.06759822
offspring_16_14,94.95338269
offspring_16_15,95.70142161
offspring_16_16,95.94771877
offspring_16_17,99.1112787
offspring_16_18,97.99227302
offspring_16_19,98.57576961
offspring_16_20,92.64624804
offspring_16_21,96.03039822
offspring_16_22,93.96650891
offspring_16_23,101.44837064
offspring_16_24,101.14837064
offspring_16_25,94.47691152
offspring_16_26,98.10392908
offspring_16_27,95.17898211
offspring_16_28,99.16847142
offspring_16_29,94.50093329
offspring_16_30,95.17881798
offspring_16_31,106.13252024
offspring_17_0,106.13252024
offspring_17_1,103.33584658
offspring_17_2,102.84755292
offspring_17_3,102.84755292
offspring_17_4,102.099514
offspring_17_5,102.00561421
offspring_17_6,101.82603919
offspring_17_7,101.50229538
offspring_17_8,106.39091036
offspring_17_9,95.06759822
offspring_17_10,96.03039822
offspring_17_11,98.10392908
offspring_17_12,97.99227302
offspring_17_13,101.44837064
offspring_17_14,101.14837064
offspring_17_15,94.95338269
offspring_17_16,93.96650891
offspring_17_17,93.96650891
offspring_17_18,97.9480476
offspring_17_19,97.80420127
offspring_17_20,102.84755292
offspring_17_21,101.28192126
offspring_17_22,96.71950729
offspring_17_23,94.08856701
offspring_17_24,99.00207405
offspring_17_25,95.78546373
offspring_17_26,101.17489584
offspring_17_27,101.97908901
offspring_17_28,101.44837064
offspring_17_29,101.82603919
offspring_17_30,102.54276394
offspring_17_31,100.43333854
offspring_18_0,106.39091036
offspring_18_1,106.13252024
offspring_18_2,103.33584658
offspring_18_3,102.84755292
offspring_18_4,102.84755292
offspring_18_5,102.84755292
offspring_18_6,102.54276394
offspring_18_7,97.9480476
offspring_18_8,101.28192126
offspring_18_9,102.00561421
offspring_18_10,101.50229538
offspring_18_11,97.80420127
offspring_18_12,100.43333854
offspring_18_13,101.44837064
offspring_18_14,101.44837064
offspring_18_15,99.00207405
offspring_18_16,101.07800027
offspring_18_17,101.54526621
offspring_18_18,99.29826575
offspring_18_19,98.86487347
offspring_18_20,100.95959039
offspring_18_21,101.56678051
offspring_18_22,102.00561421
offspring_18_23,102.84755292
offspring_18_24,101.25899401
offspring_18_25,103.43753113
offspring_18_26,98.71651034
offspring_18_27,102.42353751
